repo_name,build_tool,success,fail,unclear,error,csv,no_code,no_test,no_csv
sendgrid/sendgrid-java,maven,1,0,0,0,1,0,0,0
zendesk/maxwell,maven,1,0,0,0,1,0,0,0
weibocom/motan,maven,1,11,0,0,1,6,7,0
hazelcast/hazelcast-jet,maven,18,0,0,0,0,3,40,18
apache/opennlp,maven,1,2,0,0,0,1,3,1
codice/ddf,maven,15,229,0,0,4,94,115,11
pac4j/pac4j,maven,15,0,0,0,14,1,0,1
jenkinsci/git-client-plugin,maven,1,0,0,0,1,0,0,0
morphiaorg/morphia,maven,1,1,0,0,1,2,2,0
jenkinsci/jenkinsfile-runner,maven,1,0,0,0,0,5,5,1
hapifhir/hapi-fhir,maven,32,5,3,0,26,15,9,6
swagger-api/swagger-inflector,maven,1,0,0,0,1,1,0,0
airlift/airlift,maven,5,20,0,0,0,2,2,5
rest-assured/rest-assured,maven,2,10,0,0,0,8,12,2
openmrs/openmrs-core,maven,2,2,0,0,1,2,1,1
apache/activemq,maven,22,4,0,0,0,7,22,22
apache/maven-surefire,maven,4,20,23,0,2,252,13,2
opencast/opencast,maven,5,110,1,0,0,12,123,5
sonarsource/sonar-php,maven,1,2,0,0,1,6,1,0
gitlab4j/gitlab4j-api,maven,1,0,0,0,1,0,0,0
perwendel/spark,maven,1,0,0,0,1,0,0,0
redis/jedis,maven,1,0,0,0,1,0,0,0
jenkinsci/warnings-ng-plugin,maven,2,0,0,0,2,12,0,0
orientechnologies/orientdb,maven,12,0,1,0,10,1,2,2
spigotmc/bungeecord,maven,6,1,0,0,6,2,10,0
kiegroup/appformer,maven,107,0,0,0,0,61,35,107
pentaho/pentaho-reporting,maven,56,1,0,0,0,7,3,56
pentaho/pentaho-kettle,maven,30,4,0,0,0,84,51,30
apache/dubbo-samples,maven,79,14,0,0,2,38,50,77
confluentinc/ksql,maven,20,2,1,0,0,7,4,20
apache/cxf,maven,75,5,2,2,2,100,134,73
frameworkium/frameworkium-core,maven,1,0,0,0,0,0,0,1
basexdb/basex,maven,1,3,0,0,0,1,0,1
pmd/pmd,maven,28,0,0,0,27,7,2,1
elastic/apm-agent-java,maven,2,64,0,0,2,45,16,0
fcrepo/fcrepo,maven,11,1,0,0,0,4,4,11
alibaba/sentinel,maven,38,0,0,0,0,9,39,38
apache/guacamole-client,maven,3,3,0,0,2,2,16,1
webankpartners/wecube-platform,maven,2,1,0,0,1,1,2,1
apache/flink,maven,67,40,0,0,0,31,61,67
openhab/openhab-addons,maven,113,0,0,0,109,10,266,4
pippo-java/pippo,maven,18,0,0,0,18,10,27,0
gravitee-io/gravitee-gateway,maven,17,0,0,0,0,5,12,17
camunda-cloud/zeebe,maven,22,4,0,0,22,8,5,0
apache/karaf,maven,46,1,1,0,0,96,180,46
panda-lang/panda,maven,4,0,0,0,3,1,0,1
apache/syncope,maven,19,5,0,0,14,34,74,5
apache/tinkerpop,maven,4,14,3,0,0,9,2,4
diennea/herddb,maven,1,7,0,0,0,5,6,1
iluwatar/java-design-patterns,maven,149,0,0,0,148,5,4,1
knowm/xchart,maven,1,1,0,0,1,1,0,0
apache/shardingsphere-elasticjob,maven,2,21,0,0,2,12,12,0
apache/zookeeper,maven,1,7,0,0,1,8,5,0
jenkinsci/configuration-as-code-plugin,maven,1,1,0,0,1,2,0,0
spring-cloud/spring-cloud-commons,maven,5,0,0,0,5,6,1,0
rubenlagus/telegrambots,maven,5,0,0,0,5,1,1,0
eclipse-ee4j/glassfish,maven,10,92,52,0,10,161,212,0
eclipse/rdf4j,maven,58,0,0,0,0,25,23,58
kiegroup/drools,maven,84,9,15,1,0,61,34,84
quarkusio/quarkus-quickstarts,maven,72,15,8,0,72,4,7,0
apache/druid,maven,61,0,0,1,61,5,2,0
wildfly/quickstart,maven,33,0,0,0,5,40,98,28
apache/commons-lang,maven,1,0,0,0,1,0,0,0
vaadin/spring,maven,7,4,0,0,3,3,7,4
undera/jmeter-plugins,maven,36,0,0,0,36,5,2,0
kiegroup/jbpm,maven,38,2,2,0,0,29,14,38
geotools/geotools,maven,90,3,2,0,0,64,8,90
apache/pinot,maven,1,36,0,0,1,17,10,0
knowm/xchange,maven,114,1,0,0,95,1,8,19
kiegroup/kogito-examples,maven,99,0,2,0,0,7,5,99
apache/hadoop,maven,56,6,3,1,0,36,11,56
