repo_name,build_tool,path,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.webthing
",1727,1381,140,92,316,316,158,93,67,60
rubenlagus/telegrambots,maven,"ubenlagus_telegrambots/telegrambots-extensions
",760,101,71,5,188,21,94,4,56,4
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/security-jwt-quickstart
",86,0,6,0,13,0,10,0,7,0
undera/jmeter-plugins,maven,"undera_jmeter-plugins/plugins/perfmon
",1587,4760,218,81,328,904,163,96,27,82
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-jpaserver-subscription
",3295,2611,242,177,737,661,298,223,140,168
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/caching
",155,1273,40,62,23,297,38,91,6,72
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.persistence.mapdb
",57539,62,6338,3,10521,14,4992,3,1761,3
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/expression-language
",501,1989,94,136,38,271,92,151,21,107
spring-cloud/spring-cloud-vault,maven,"ing-cloud_spring-cloud-vault/spring-cloud-vault-config-rabbitmq
",162,0,0,0,38,0,22,0,22,0
cdk/cdk,maven,"k_cdk/tool/pcore
",302,2348,54,202,62,440,58,143,11,62
spring-cloud/spring-cloud-vault,maven,"ing-cloud_spring-cloud-vault/spring-cloud-vault-config
",3042,3498,214,152,743,884,378,344,242,291
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/twin
",3,137,0,8,1,53,1,22,1,18
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-birt
",1234,557,51,5,277,136,111,41,83,41
apache/druid,maven,"apache_druid/extensions-core/kinesis-indexing-service
",930,3478,67,183,194,745,69,251,14,181
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.bluetooth.am43
",1688,208,141,2,411,38,196,11,122,10
jenkinsci/github-plugin,maven,"jenkinsci_github-plugin
",1945,5419,170,266,425,1304,240,609,120,511
castorini/anserini,maven,"astorini_anserini
",20151,30061,1490,1652,3638,5988,1518,1621,521,1046
cdk/cdk,maven,"k_cdk/tool/sdg
",5909,17595,929,1711,1045,3228,677,966,59,254
pinterest/secor,maven,"interest_secor
",14249,6254,1161,350,3080,1310,1248,434,584,322
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/msgpack-value
",590,2043,74,97,122,536,78,209,37,164
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.persistence.influxdb
",362971,2747,35777,225,90087,707,38329,254,20242,192
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/config-quickstart
",0,14,0,0,0,2,0,2,0,2
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/commander
",4666,255,194,6,741,54,233,13,135,11
wmixvideo/nfe,maven,"wmixvideo_nfe
",132344,63740,11947,1938,31058,12391,14526,5768,8393,4954
jenkinsci/bitbucket-branch-source-plugin,maven,"jenkinsci_bitbucket-branch-source-plugin
",13004,10946,1215,811,2860,2651,1379,1090,639,807
apache/druid,maven,"apache_druid/extensions-core/kubernetes-extensions
",1034,1263,64,63,191,283,87,80,38,65
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/business-delegate
",3,104,0,2,1,32,1,17,1,16
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-views-mustache
",6,159,1,5,1,32,2,13,1,11
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/typeobjectpattern
",452,736,39,59,90,136,32,50,10,23
spigotmc/bungeecord,maven,"igotmc_bungeecord/chat
",2484,3667,450,377,221,706,411,312,115,193
synyx/urlaubsverwaltung,maven,"ynyx_urlaubsverwaltung
",282635,33030,21619,2060,80900,7689,16831,3038,5796,2111
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/samples
",474,0,24,0,172,0,39,0,27,0
liquibase/liquigraph,maven,"iquibase_liquigraph/liquigraph-core
",1856,3062,120,184,440,751,246,305,165,232
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.bluetooth.bluez
",2339,77,250,9,642,22,258,7,126,3
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/api-gateway/image-microservice
",8,12,0,0,3,4,2,3,2,3
spring-cloud/spring-cloud-vault,maven,"ing-cloud_spring-cloud-vault/spring-cloud-vault-config-databases
",401,116,1,1,148,27,86,15,85,15
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/bridge
",3,143,0,0,1,52,1,24,1,24
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-pages
",500,774,59,33,109,172,65,67,28,58
spigotmc/bungeecord,maven,"igotmc_bungeecord/native
",101,538,12,38,22,124,18,38,6,25
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/amazon-ssm-quickstart
",186,0,6,0,35,0,21,0,18,0
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/composite
",10,409,0,2,4,37,2,18,2,17
codice/ddf,maven,"ice_ddf/catalog/core/catalog-core-api
",1145,206,24,0,224,101,147,51,135,51
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/protocol-jackson
",131,249,2,2,39,45,35,14,33,14
spotify/styx,maven,"tify_styx/styx-test
",531,193,17,9,123,58,41,23,32,19
aws/aws-encryption-sdk-java,maven,"aws_aws-encryption-sdk-java
",1776,13813,225,1076,388,3144,287,1141,87,683
apache/druid,maven,"apache_druid/extensions-contrib/redis-cache
",167,656,11,27,41,156,13,58,5,47
webankpartners/wecube-platform,maven,"webankpartners_wecube-platform/platform-auth-server
",13412,306,1018,3,3484,89,1397,37,885,36
qos-ch/logback,maven,"qos-ch_logback/logback-core
",14181,20020,1266,1781,3498,5236,1767,1929,870,1249
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/servant
",3,171,2,14,1,58,3,27,1,21
spring-cloud/spring-cloud-sleuth,maven,"ing-cloud_spring-cloud-sleuth/spring-cloud-sleuth-autoconfigure
",2196,4971,234,290,593,1266,433,657,263,562
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/monostate
",9,164,0,4,3,34,3,13,3,11
apache/pinot,maven,"apache_pinot/pinot-spi
",9257,7773,901,476,2273,1812,1360,685,784,526
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/double-buffer
",3,294,0,4,1,67,1,18,1,16
cdk/cdk,maven,"k_cdk/display/renderextra
",2294,1111,206,64,448,232,189,85,68,71
cdk/cdk,maven,"k_cdk/display/renderawt
",1809,292,104,9,303,61,92,15,30,15
jenkinsci/jira-plugin,maven,"jenkinsci_jira-plugin
",6748,7680,595,501,1402,1872,820,680,430,519
spring-cloud/spring-cloud-sleuth,maven,"ing-cloud_spring-cloud-sleuth/spring-cloud-sleuth-api
",956,469,84,54,245,102,154,55,108,32
open-metadata/openmetadata,maven,"-metadata_openmetadata/common
",242,204,16,4,55,49,24,12,14,12
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/singleton
",8,155,3,9,2,50,4,15,1,12
apache/druid,maven,"apache_druid/extensions-contrib/time-min-max
",236,389,15,29,37,80,31,47,21,35
cdk/cdk,maven,"k_cdk/storage/inchi
",554,2280,94,233,98,452,83,129,3,45
apache/druid,maven,"apache_druid/extensions-contrib/opentsdb-emitter
",478,497,60,40,116,101,71,25,25,21
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/eip-aggregator
",0,99,0,2,0,23,0,9,0,8
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/saga
",108,921,3,47,31,230,12,110,9,88
apache/druid,maven,"apache_druid/extensions-contrib/aliyun-oss-extensions
",1565,1846,118,90,274,412,140,136,62,110
zalando/opentracing-toolbox,maven,"zalando_opentracing-toolbox/opentracing-flowid/opentracing-flowid
",0,289,0,8,0,62,0,38,0,34
apache/druid,maven,"apache_druid/extensions-contrib/gce-extensions
",260,984,29,95,53,206,31,63,5,27
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/proxy
",3,89,0,2,1,22,1,10,1,9
cdk/cdk,maven,"k_cdk/descriptor/qsar
",157,187,20,4,35,37,23,15,13,13
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/module
",3,179,5,7,1,65,6,19,1,18
decorators-squad/eo-yaml,maven,"ators-squad_eo-yaml
",678,7002,103,765,147,1598,173,755,78,416
knowm/xchange,maven,"knowm_xchange/xchange-stream-hitbtc
",326,524,22,14,73,117,31,47,18,42
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/interpreter
",3,222,0,13,1,54,1,25,1,18
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/retry
",165,190,0,10,35,50,9,21,9,16
apache/druid,maven,"apache_druid/extensions-contrib/momentsketch
",296,1223,34,62,58,285,53,129,26,108
yegor256/cactoos,maven,"yegor256_cactoos
",1400,14436,45,423,337,3416,216,1702,177,1507
hangarmc/hangar,maven,"hangarmc_hangar
",33691,3823,1626,139,7397,515,3368,146,2529,94
apache/druid,maven,"apache_druid/cloud/gcp-common
",20,4,2,0,7,2,5,2,4,2
cdk/cdk,maven,"k_cdk/storage/ioformats
",3523,1430,251,179,1128,393,1167,287,1008,231
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/iterator
",9,451,1,29,3,108,3,47,2,33
spring-cloud/spring-cloud-stream-binder-kafka,maven,"ing-cloud_spring-cloud-stream-binder-kafka/spring-cloud-stream-binder-kafka
",773,4537,107,399,178,1081,137,314,45,153
apache/druid,maven,"apache_druid/extensions-core/avro-extensions
",684,1902,108,194,110,385,129,165,36,107
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/spatial-partition
",447,438,28,28,71,69,28,26,10,16
glyptodon/guacamole-client,maven,"glyptodon_guacamole-client/guacamole-common
",2557,1536,159,74,709,330,278,144,187,117
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/marker
",13,45,2,2,5,16,4,7,2,7
cdk/cdk,maven,"k_cdk/descriptor/signature
",63,614,8,41,19,142,13,62,5,44
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-pivottable
",762,57,44,0,150,14,53,5,31,5
spigotmc/bungeecord,maven,"igotmc_bungeecord/event
",76,430,7,39,11,87,9,25,2,9
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/zb-db
",492,1872,9,41,102,495,31,171,24,153
weibocom/motan,maven,"weibocom_motan/motan-core
",13773,19157,1576,1371,2945,4156,1680,1350,619,930
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/builder
",3,518,2,16,1,90,3,35,1,28
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/protocol
",12112,1837,643,86,3045,379,1651,177,1278,117
spring-projects/spring-petclinic,maven,"ing-projects_spring-petclinic
",58,904,14,42,16,242,16,113,5,96
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/amazon-sqs-quickstart
",270,0,2,0,58,0,29,0,28,0
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/composite-entity
",7,154,0,0,1,32,1,18,1,18
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/api-gateway/api-gateway-service
",146,57,12,0,49,15,18,11,12,11
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-core
",50238,24175,3831,1067,9953,3996,5023,1165,2831,841
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/snapshot
",476,2769,24,128,114,688,49,210,25,158
spigotmc/bungeecord,maven,"igotmc_bungeecord/config
",626,557,81,45,116,104,81,55,33,40
perwendel/spark,maven,"wendel_spark
",3997,10429,442,717,954,2155,627,851,307,589
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-devutils
",503,434,62,10,110,87,52,38,17,37
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.bluetooth.bluegiga
",17138,1294,685,23,3833,141,1221,41,864,28
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/amazon-dynamodb-quickstart
",295,0,6,0,60,0,37,0,34,0
apache/incubator-shenyu,maven,"apache_incubator-shenyu/shenyu-spi
",18,487,14,40,4,115,13,31,0,17
spring-cloud/spring-cloud-vault,maven,"ing-cloud_spring-cloud-vault/spring-cloud-vault-config-databases
",401,116,1,1,148,27,86,15,85,15
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.persistence.dynamodb
",180683,72004,13684,1469,39701,13170,22099,4088,14494,3801
spring-projects/spring-data-rest,maven,"ing-projects_spring-data-rest/spring-data-rest-hal-explorer
",2,99,1,5,0,17,1,9,0,7
quarkusio/quarkus-quickstarts,maven,"quarkusio_quarkus-quickstarts/cache-quickstart
",9,93,2,3,4,22,2,10,0,8
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/command
",5,254,2,6,2,61,4,25,2,23
cdk/cdk,maven,"k_cdk/tool/smarts
",1406,7078,402,1112,308,1719,313,695,2,97
lukas-krecan/jsonunit,maven,"ukas-krecan_jsonunit/json-unit-core
",3425,4151,277,338,656,894,447,440,261,311
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/protocol-impl
",3330,3648,79,37,804,929,311,345,266,331
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/bytecode
",32,715,3,25,7,126,7,50,4,34
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-views-freemarker
",37,123,2,2,8,29,5,8,3,8
apache/druid,maven,"apache_druid/extensions-core/lookups-cached-global
",863,3686,129,255,178,796,121,278,20,187
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/unit-of-work
",9,311,0,18,3,69,3,29,3,20
codecentric/spring-boot-admin,maven,"tric_spring-boot-admin/spring-boot-admin-server
",4524,13220,816,619,265,2353,747,1216,250,995
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-taucharts
",721,249,40,0,126,55,60,8,40,8
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.automation.pidcontroller
",1038,18,42,0,258,3,71,1,50,1
spring-cloud/spring-cloud-vault,maven,"ing-cloud_spring-cloud-vault/spring-cloud-vault-config-rabbitmq
",162,0,0,0,38,0,22,0,22,0
camunda-cloud/zeebe,maven,"amunda-cloud_zeebe/exporters/elasticsearch-exporter
",867,683,43,49,210,187,90,65,60,42
spring-cloud/spring-cloud-vault,maven,"ing-cloud_spring-cloud-vault/spring-cloud-vault-config
",3042,3498,214,152,743,884,378,344,242,291
cdk/cdk,maven,"k_cdk/tool/model
",836,1823,125,153,119,291,106,74,15,26
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-twilio
",650,199,32,0,138,76,87,14,71,14
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/callback
",0,37,0,0,0,12,0,8,0,8
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.transform.javascript
",443,287,32,16,106,60,43,16,26,9
cloudevents/sdk-java,maven,"udevents_sdk-java/api
",231,307,4,3,38,40,28,13,26,11
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.binding.bluetooth.airthings
",1503,208,103,5,344,26,103,6,47,4
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/transaction-script
",55,686,12,36,11,147,12,52,1,39
apache/druid,maven,"apache_druid/extensions-core/kafka-indexing-service
",505,2696,42,108,90,575,58,192,18,157
orienteerbap/orienteer,maven,"ienteerbap_orienteer/orienteer-bpm
",4000,7075,209,210,582,1438,353,382,212,310
cdk/cdk,maven,"k_cdk/storage/iordf
",35,1136,21,93,8,286,23,77,2,41
apache/druid,maven,"apache_druid/core
",23964,62382,2579,4941,4704,13670,3271,6257,1336,4349
jensgerdes/sonar-pmd,maven,"jensgerdes_sonar-pmd/integration-test
",110,0,2,0,31,0,11,0,10,0
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/resource-acquisition-is-initialization
",3,47,0,0,1,18,1,8,1,8
spring-projects/spring-data-jdbc,maven,"ing-projects_spring-data-jdbc/spring-data-relational
",4089,11397,406,642,752,2525,626,1155,343,905
apache/druid,maven,"apache_druid/extensions-contrib/materialized-view-selection
",1030,1184,97,81,212,256,123,68,54,48
junit-team/junit,maven,"junit-team_junit4
",2934,18557,265,1382,764,4429,410,2044,199,1431
cdk/cdk,maven,"k_cdk/descriptor/qsarsubstance
",8,80,1,9,4,17,5,10,4,6
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/master-worker-pattern
",128,546,19,33,34,132,20,47,6,35
apache/druid,maven,"apache_druid/extensions-core/azure-extensions
",451,1993,26,94,96,430,60,148,38,110
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/layers
",24,936,4,28,6,203,5,74,1,62
spring-cloud/spring-cloud-stream-binder-kafka,maven,"ing-cloud_spring-cloud-stream-binder-kafka/spring-cloud-stream-binder-kafka-streams
",2210,9575,383,738,515,2164,408,678,99,425
knowm/xchange,maven,"knowm_xchange/xchange-stream-kraken
",1870,606,152,51,416,140,188,45,98,30
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/special-case
",5,456,1,19,2,129,2,54,1,45
apache/druid,maven,"apache_druid/extensions-contrib/graphite-emitter
",854,659,118,70,189,150,98,53,17,40
eclipse/leshan,maven,"ipse_leshan/leshan-core
",19709,15903,2503,1546,3728,3141,2513,1095,940,568
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/queue-load-leveling
",31,195,3,7,13,64,4,18,1,16
apache/druid,maven,"apache_druid/extendedset
",2367,4528,538,631,514,1014,408,382,60,143
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/intercepting-filter
",479,266,15,25,90,86,28,42,16,34
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/model-view-viewmodel
",0,93,1,1,0,19,1,7,0,7
cdk/cdk,maven,"k_cdk/descriptor/qsaratomic
",2140,8745,309,763,466,1999,288,565,35,282
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/tls
",27,217,1,5,8,55,2,14,1,12
apache/druid,maven,"apache_druid/extensions-contrib/virtual-columns
",714,209,62,12,154,54,91,23,58,19
cdk/cdk,maven,"k_cdk/display/render
",656,2760,254,85,262,542,257,107,7,77
spring-cloud/spring-cloud-sleuth,maven,"ing-cloud_spring-cloud-sleuth/docs
",293,819,50,50,46,161,42,38,4,26
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/double-dispatch
",6,425,2,10,2,78,4,41,2,37
apache/druid,maven,"apache_druid/extensions-contrib/moving-average-query
",279,2874,40,162,52,579,67,218,29,155
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/role-object
",19,265,0,0,7,62,4,25,4,25
cdk/cdk,maven,"k_cdk/storage/io
",7868,19129,1117,2000,1549,3895,994,1072,129,375
spring-cloud/spring-cloud-sleuth,maven,"ing-cloud_spring-cloud-sleuth/spring-cloud-sleuth-brave
",3153,1523,234,144,796,370,492,154,362,95
adobe-consulting-services/acs-aem-commons,maven,"adobe-consulting-services_acs-aem-commons/bundle
",59047,79774,5898,5447,12908,16955,6792,5854,3035,3882
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/monad
",6,179,4,8,1,34,5,18,1,16
apache/druid,maven,"apache_druid/extensions-contrib/prometheus-emitter
",125,640,17,33,22,134,18,43,3,33
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/separated-interface
",3,69,0,0,1,15,1,8,1,8
cdk/cdk,maven,"k_cdk/display/renderbasic
",12500,7931,1426,545,2259,1320,1029,562,233,334
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/double-checked-locking
",9,128,0,6,4,28,1,12,1,9
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/delegation
",3,78,0,0,1,24,1,12,1,12
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-forms
",0,8,0,0,0,3,0,2,0,2
mybatis/spring-boot-starter,maven,"mybatis_spring-boot-starter/mybatis-spring-boot-samples/mybatis-spring-boot-sample-xml
",0,149,0,0,0,41,0,25,0,25
snowflakedb/snowflake-jdbc,maven,"wflakedb_snowflake-jdbc
",68563,23458,5201,1421,15317,5014,5633,1416,2626,1010
querydsl/querydsl,maven,"querydsl_querydsl/querydsl-hibernate-search
",32,212,4,16,6,47,9,22,5,16
panda-lang/panda,maven,"anda-lang_panda/panda-utilities
",579,3754,75,331,125,723,101,378,42,234
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-converter
",106,140,18,24,23,42,24,14,11,6
panda-lang/panda,maven,"anda-lang_panda/panda
",3156,11520,365,633,467,2220,511,1007,201,770
microsoft/java-debug,maven,"microsoft_java-debug/com.microsoft.java.debug.core
",18832,1817,1683,176,4102,399,1691,175,826,106
querydsl/querydsl,maven,"querydsl_querydsl/querydsl-sql-codegen
",1148,4111,108,274,326,865,231,262,144,158
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-jdbi3
",10,333,3,15,2,79,4,27,1,21
reactiverse/es4x,maven,"activerse_es4x/pm
",8028,3218,1116,239,1845,771,956,160,308,115
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-validation
",61,808,16,68,12,198,17,87,2,60
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-client-okhttp
",95,536,14,32,22,130,22,53,10,42
apache/druid,maven,"apache_druid/hll
",339,2368,36,118,73,545,60,95,31,47
spring-cloud/spring-cloud-sleuth,maven,"ing-cloud_spring-cloud-sleuth/spring-cloud-sleuth-samples/spring-cloud-sleuth-sample
",267,33,0,0,45,9,11,7,11,7
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-lifecycle
",173,667,6,28,42,158,23,70,18,58
apache/guacamole-client,maven,"apache_guacamole-client/guacamole-ext
",4952,439,183,41,1410,105,802,36,707,18
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/data-transfer-object
",57,499,0,0,19,138,13,51,13,51
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.transform.xslt
",268,76,16,2,65,16,23,2,14,2
apache/druid,maven,"apache_druid/extensions-core/s3-extensions
",1762,2354,130,142,320,535,185,178,83,144
hazelcast/hazelcast-code-samples,maven,"hazelcast_hazelcast-code-samples/serialization/hazelcast-airlines/the-code
",380,829,76,47,33,157,79,78,29,66
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/cqrs
",333,510,32,18,50,122,46,42,22,41
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/throttling
",15,240,0,4,5,62,1,26,1,24
knowm/xchange,maven,"knowm_xchange/xchange-zaif
",248,162,15,13,60,29,32,12,21,9
apache/jena,maven,"apache_jena/jena-fuseki2/jena-fuseki-access
",798,713,97,51,221,202,128,73,69,58
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/flux
",3,381,0,10,1,94,1,45,1,40
apache/druid,maven,"apache_druid/extensions-core/hdfs-storage
",721,1881,59,91,139,376,82,128,37,98
ctripcorp/apollo,maven,"tripcorp_apollo/apollo-common
",2703,103,110,14,820,27,424,11,363,6
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/mute-idiom
",6,72,0,0,3,27,1,12,1,12
wikidata/wikidata-toolkit,maven,"wikidata_wikidata-toolkit/wdtk-util
",269,987,20,92,54,218,23,98,8,56
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/producer-consumer
",7,177,0,4,3,46,1,18,1,16
pippo-java/pippo,maven,"ippo-java_pippo/pippo-session-parent/pippo-session-xmemcached
",194,0,9,0,52,0,17,0,12,0
apache/unomi,maven,"apache_unomi/extensions/salesforce-connector/services
",2266,154,234,8,546,39,190,14,70,13
orbisgis/h2gis,maven,"bisgis_h2gis/h2gis-utilities
",9316,8462,1092,803,2148,1572,1216,490,525,200
knowm/xchart,maven,"knowm_xchart/xchart
",30380,9142,2145,478,6581,1949,2343,498,1111,407
cdk/cdk,maven,"k_cdk/tool/fragment
",110,1630,26,236,24,330,29,140,4,34
orientechnologies/orientdb,maven,"ientechnologies_orientdb/etl
",5107,7095,530,525,1005,1491,515,437,151,257
eclipse-ee4j/jersey,maven,"ipse-ee4j_jersey/tools/jersey-release-notes-maven-plugin
",100,323,16,26,16,57,14,15,1,7
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/observer
",3,304,0,4,1,81,1,33,1,31
authorjapps/zerocode,maven,"authorjapps_zerocode/core
",5389,12138,380,700,1057,2794,535,1037,250,777
apache/jena,maven,"apache_jena/jena-examples
",463,0,22,0,127,0,45,0,34,0
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/feature-toggle
",93,106,2,12,24,32,6,17,4,12
knowm/xchange,maven,"knowm_xchange/xchange-truefx
",58,318,0,0,11,79,8,26,8,26
hibernate/hibernate-tools,maven,"hibernate_hibernate-tools/utils
",7,22,0,6,2,6,2,5,2,2
sonaropencommunity/sonar-cxx,maven,"aropencommunity_sonar-cxx/cxx-squid-bridge
",770,3138,102,296,181,796,140,348,68,219
orientechnologies/orientdb,maven,"ientechnologies_orientdb/client
",25529,6022,1811,295,6424,1633,2802,452,1805,364
cmu-phil/tetrad,maven,"mu-phil_tetrad/data-reader
",4456,8585,844,1326,871,2200,657,623,30,165
orbisgis/h2gis,maven,"bisgis_h2gis/h2gis-test-utilities
",194,54,27,3,42,13,20,3,5,3
googlecloudplatform/bank-of-anthos,maven,"googlecloudplatform_bank-of-anthos/src/balancereader
",603,140,38,6,150,35,56,9,36,7
wikidata/wikidata-toolkit,maven,"wikidata_wikidata-toolkit/wdtk-datamodel
",2303,18545,218,1370,461,3803,304,1814,144,1154
pippo-java/pippo,maven,"ippo-java_pippo/pippo-session-parent/pippo-session-ehcache3
",15,50,0,0,5,15,2,7,2,7
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/pipeline
",3,208,0,0,1,41,1,16,1,16
cdk/cdk,maven,"k_cdk/tool/forcefield
",3560,8476,374,572,540,1511,244,360,17,113
orientechnologies/orientdb,maven,"ientechnologies_orientdb/server
",49091,0,4731,0,11049,0,4125,0,1689,0
orientechnologies/orientdb,maven,"ientechnologies_orientdb/jdbc
",4246,2803,239,187,1073,613,682,203,525,147
apache/helix,maven,"apache_helix/metrics-common
",965,0,48,0,197,0,67,0,43,0
apache/syncope,maven,"apache_syncope/sra
",4549,2373,191,94,1053,518,477,216,362,167
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/property
",7,417,0,12,4,68,4,22,4,16
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/event-sourcing
",218,479,4,26,47,127,20,48,16,37
apache/jena,maven,"apache_jena/jena-jdbc/jena-jdbc-driver-remote
",636,546,75,61,130,135,78,53,30,33
apache/druid,maven,"apache_druid/extensions-core/ec2-extensions
",697,831,140,58,98,190,112,66,15,64
ctripcorp/apollo,maven,"tripcorp_apollo/apollo-core
",3124,2654,280,228,819,638,426,232,240,157
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/template-method
",3,89,0,0,1,33,1,17,1,17
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/event-queue
",90,153,5,13,25,40,10,18,6,13
apache/jena,maven,"apache_jena/jena-jdbc/jena-jdbc-driver-mem
",233,90,11,5,45,26,19,8,12,7
apache/syncope,maven,"apache_syncope/wa/starter
",1688,1673,107,39,439,422,142,115,73,111
cdk/cdk,maven,"k_cdk/storage/libiocml
",1657,1595,199,193,357,367,184,99,51,36
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/specification
",77,676,14,12,4,128,15,63,5,60
apache/druid,maven,"apache_druid/extensions-core/datasketches
",2173,10790,239,796,480,2300,346,1097,150,774
