repo_name,build_tool,path,instruction_missed,instruction_covered,branch_missed,branch_covered,line_missed,line_covered,complexity_missed,complexity_covered,method_missed,method_covered
apache/druid,maven,"apache_druid/extensions-core/protobuf-extensions
",218,764,24,58,39,160,31,52,7,35
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-migrations
",140,1965,17,81,39,480,22,108,5,76
apache/shardingsphere-elasticjob,maven,"apache_shardingsphere-elasticjob/elasticjob-infra/elasticjob-registry-center
",92,575,8,38,36,129,9,51,3,34
hapifhir/hapi-fhir,maven,"hapifhir_hapi-fhir/hapi-fhir-base
",67914,11143,6287,676,14812,2126,6423,678,3121,446
multiverse/multiverse-core,maven,"multiverse_multiverse-core
",23074,9847,2462,421,4312,2018,2136,532,780,442
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/dao
",34,574,4,28,11,123,7,53,3,41
fasterxml/jackson-databind,maven,"fasterxml_jackson-databind
",33714,106559,5133,12206,7118,25554,5795,10451,1782,5608
dropwizard/dropwizard,maven,"wizard_dropwizard/dropwizard-metrics
",72,497,6,26,15,157,11,70,6,59
spring-projects/spring-data-elasticsearch,maven,"ing-projects_spring-data-elasticsearch
",23130,26440,1863,1732,4839,5752,2854,2117,1586,1560
mybatis/mybatis-,maven,"mybatis_mybatis-3
",6781,41320,759,3464,1355,9276,993,3718,358,2237
apache/druid,maven,"apache_druid/indexing-hadoop
",2733,10562,316,639,551,2288,322,688,70,460
spring-cloud/spring-cloud-sleuth,maven,"ing-cloud_spring-cloud-sleuth/spring-cloud-sleuth-zipkin
",531,339,46,18,139,80,78,29,51,24
apache/guacamole-client,maven,"apache_guacamole-client/guacamole-common
",2557,1536,159,74,709,330,278,144,187,117
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/data-mapper
",56,179,4,8,7,37,10,17,6,15
openhab/openhab-addons,maven,"hab_openhab-addons/bundles/org.openhab.transform.xpath
",240,91,17,3,62,25,24,2,14,2
codecentric/spring-boot-admin,maven,"tric_spring-boot-admin/spring-boot-admin-client
",1069,1818,234,123,15,329,158,192,24,147
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/extension-objects
",10,248,0,6,1,60,3,35,3,32
apache/jena,maven,"apache_jena/jena-permissions
",4975,11808,493,757,976,2264,667,989,314,717
orientechnologies/orientdb,maven,"ientechnologies_orientdb/tools
",9186,5356,848,417,1797,1073,756,250,242,128
cdk/cdk,maven,"k_cdk/tool/builder3d
",1533,3997,145,351,221,787,119,217,12,76
apache/jena,maven,"apache_jena/jena-fuseki2/jena-fuseki-webapp
",2479,2474,323,161,572,673,269,126,50,103
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/guarded-suspension
",48,44,0,2,17,15,3,5,3,4
apache/druid,maven,"apache_druid/extensions-core/druid-pac4j
",422,260,31,11,105,59,53,16,32,16
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/subclass-sandbox
",3,90,0,0,1,29,1,10,1,10
cdk/cdk,maven,"k_cdk/storage/pdb
",909,2575,146,226,188,526,125,116,18,37
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/event-asynchronous
",273,386,29,21,85,107,32,32,12,27
apache/jena,maven,"apache_jena/jena-iri
",5632,11939,798,678,1321,2084,808,604,200,317
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/step-builder
",7,233,0,14,3,82,2,35,2,28
apache/druid,maven,"apache_druid/extensions-core/druid-basic-security
",5564,5854,528,429,1262,1365,653,402,278,296
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/null-object
",4,99,0,4,2,29,2,16,2,14
apache/syncope,maven,"apache_syncope/core/persistence-api
",1482,1397,163,122,406,373,267,111,152,72
iluwatar/java-design-patterns,maven,"iluwatar_java-design-patterns/front-controller
",9,99,0,0,3,37,1,21,1,21
