repo_name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage
apache/dolphinscheduler,1.0,1,1.0,0.0,1,38.0,30.0,254.0,17173.0,
apache/drill,1.0,1,1.0,1.0,1,80.0,30.0,88.0,6322.0,
apache/druid,1.0,1,0.0,0.0,1,97.0,65.0,168.0,20769.0,65.19
apache/dubbo,1.0,1,1.0,1.0,1,18.0,23.0,52.0,6403.0,
apache/dubbo-admin,1.0,1,1.0,1.0,1,31.0,17.0,110.0,4649.0,13.59
apache/dubbo-samples,1.0,1,1.0,0.0,1,13.0,5.0,127.0,4304.0,4.39
apache/fineract,1.0,1,1.0,0.0,1,24.0,15.0,59.0,2006.0,
apache/flink,1.0,1,,,0,73.0,72.0,97.0,2956.0,
apache/flink-statefun,1.0,0,1.0,1.0,1,,,,,
apache/flume,0.0,1,1.0,1.0,1,44.0,49.0,150.0,6436.0,
apache/geode,0.0,0,,,0,146.0,14.0,162.0,8829.0,
apache/gobblin,0.0,1,1.0,1.0,1,110.0,39.0,114.0,3675.0,
apache/gora,,0,1.0,0.0,1,37.0,45.0,147.0,8349.0,
apache/groovy,1.0,1,1.0,1.0,1,17.0,27.0,149.0,5734.0,
apache/guacamole-client,1.0,0,,,0,57.0,17.0,823.0,25462.0,25.16
apache/hadoop,1.0,1,,,0,149.0,174.0,78.0,3697.0,
apache/hbase,1.0,1,,,0,44.0,200.0,114.0,5779.0,
apache/helix,1.0,0,1.0,1.0,1,83.0,25.0,141.0,6992.0,58.22
apache/hive,0.0,1,1.0,1.0,1,67.0,16.0,99.0,141950.0,
apache/httpcomponents-client,1.0,0,1.0,1.0,1,89.0,35.0,132.0,2952.0,47.13
apache/httpcomponents-core,1.0,0,1.0,1.0,1,82.0,51.0,94.0,1776.0,51.42
apache/hudi,0.0,1,1.0,1.0,1,55.0,73.0,650.0,651108.0,
apache/iceberg,1.0,1,1.0,1.0,1,304.0,69.0,92.0,449888.0,77.91
apache/ignite,,1,1.0,1.0,1,161.0,4.0,242.0,166985.0,
apache/incubator-doris,,1,1.0,1.0,1,60.0,59.0,533.0,32317.0,
apache/incubator-eventmesh,0.0,1,1.0,1.0,1,54.0,81.0,222.0,58622.0,
apache/incubator-heron,,1,1.0,1.0,1,33.0,12.0,143.0,23903.0,
apache/incubator-hop,0.0,0,1.0,1.0,1,0.0,3.0,171.0,19930.0,
apache/incubator-inlong,1.0,1,1.0,1.0,1,23.0,16.0,141.0,5793.0,1.82
apache/incubator-linkis,0.0,0,,,0,31.0,9.0,1046.0,78761.0,
apache/incubator-sedona,0.0,0,1.0,1.0,1,56.0,69.0,298.0,58538.0,
apache/incubator-shenyu,1.0,1,1.0,1.0,1,52.0,23.0,93.0,3671.0,23.51
apache/incubator-tuweni,0.0,0,,,0,0.0,2.0,126.0,2877.0,
apache/iotdb,1.0,1,1.0,0.0,1,42.0,26.0,160.0,33225.0,
apache/isis,,0,1.0,1.0,1,0.0,4.0,332.0,13685.0,
apache/jackrabbit-oak,1.0,0,0.0,0.0,1,17.0,2.0,82.0,17919.0,
apache/james-project,0.0,1,1.0,1.0,1,79.0,42.0,259.0,41596.0,
apache/jena,1.0,0,,,0,20.0,13.0,2874.0,177866.0,46.15
apache/jmeter,1.0,1,,,0,17.0,22.0,455.0,12973.0,
apache/kafka,1.0,1,0.0,0.0,1,108.0,34.0,124.0,6318.0,
apache/karaf,1.0,0,0.0,0.0,1,20.0,6.0,25.0,334.0,
apache/knox,1.0,1,1.0,1.0,1,40.0,21.0,101.0,13661.0,
apache/kylin,1.0,1,1.0,1.0,1,30.0,38.0,110.0,5613.0,
apache/logging-log4j2,1.0,1,0.0,0.0,1,31.0,45.0,118.0,5903.0,46.77
apache/lucene,1.0,0,,,0,73.0,42.0,521.0,52158.0,
apache/maven,1.0,1,1.0,1.0,1,100.0,83.0,112.0,5939.0,
apache/maven-surefire,1.0,0,1.0,1.0,1,74.0,109.0,111.0,2909.0,
