repo_name,last_commit_sha,pull_number,count_review_requests,count_all_reviews,count_all_review_comments,count_all_comments,count_changed_files,count_total_changed_lines
actiontech/dble,13b5db4897bf8b96014a8b7f231b6949c878dedc,2792,0,1,0,0,2,11
actiontech/dble,13b5db4897bf8b96014a8b7f231b6949c878dedc,2790,0,1,0,0,2,4
actiontech/dble,13b5db4897bf8b96014a8b7f231b6949c878dedc,2789,0,1,0,0,1,572
actiontech/dble,13b5db4897bf8b96014a8b7f231b6949c878dedc,2786,0,1,0,0,3,45
actiontech/dble,13b5db4897bf8b96014a8b7f231b6949c878dedc,2785,0,1,0,0,15,577
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3689,0,1,0,2,1,4
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3685,0,1,0,0,4,33
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3680,0,1,0,0,2,13
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3675,0,9,13,0,23,665
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3659,0,1,0,2,5,765
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3649,0,2,0,1,5,215
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3643,0,0,0,0,1,2
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3642,0,0,0,0,1,4
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3641,0,2,0,0,2,8
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3638,0,1,0,0,1,20
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3636,0,1,0,0,1,14
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3633,0,2,0,0,1,1
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3632,0,1,0,0,1,22
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3629,0,1,0,0,1,3
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3627,0,1,0,2,1,12
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3624,0,1,0,1,6,446
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3621,0,1,0,1,3,72
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3618,0,3,4,1,4,260
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3614,0,1,0,2,2,109
activiti/activiti,407f917f216c03580cf99757c5eeab0d946bf5f2,3606,0,1,0,1,5,28
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,345,0,1,0,0,8,181
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,344,0,1,0,0,1,4
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,343,0,1,0,0,3,17
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,341,0,1,0,0,11,210
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,339,0,1,0,0,2,28
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,338,1,0,0,4,3,74
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,337,0,1,0,0,1,3
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,336,0,4,0,1,16,1016
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,335,0,1,0,0,1,8
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,334,0,1,0,0,4,108
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,333,0,0,0,0,2,6
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,332,0,0,0,0,2,54
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,331,0,0,0,0,2,22
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,330,0,0,0,0,2,17
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,329,0,0,0,1,15,369
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,328,0,0,0,0,1,15
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,327,0,1,0,0,1,17
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,326,0,1,0,4,8,221
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,325,0,1,0,1,1,14
adeekshith/watomatic,d6c1d1f9ca4d741786c08ff3f9d96b6993b38475,324,0,1,0,0,4,8
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3585,0,1,0,5,12,69612
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3584,0,1,0,0,15,66606
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3579,0,0,0,0,1,1
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3575,1,0,0,1,1,2
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3573,2,2,0,3,1,99
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3572,1,1,0,0,1,93
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3568,2,0,0,1,2,14
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3567,3,1,0,0,1,84
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3566,2,1,0,0,1,102
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3564,2,3,0,8,2,72
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3563,2,1,0,0,1,69
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3561,2,2,1,0,1,70
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3560,2,8,6,2,1,53
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3559,1,2,0,0,2,168
adempiere/adempiere,33a4c02cb45c0705085fde70847639bd15d4a667,3558,2,1,0,2,1,68
